^^^^^^^^^^Mar 26 2017^^^10:50:40^^^^^^^^^^[1294,1294][2017-03-26 +0800 11:37:48]
del time out files time: 0
get mmap time: 2
MARS_URL: 
MARS_PATH: 
MARS_REVISION: 
MARS_BUILD_TIME: 2017-03-26 10:49:56
MARS_BUILD_JOB: mars_xlog_sdk/mars_libs
log appender mode:0, use mmap:1
[E][2017-03-26 +8.0 11:39:50.007][1294, 1*][yiqinTag e][, , 0][---好自为之
[W][2017-03-26 +8.0 11:39:50.008][1294, 1*][yiqinTag w][, , 0][---好自为之
[I][2017-03-26 +8.0 11:39:50.008][1294, 1*][yiqinTag i][, , 0][---好自为之
[D][2017-03-26 +8.0 11:39:50.008][1294, 1*][yiqinTag d][, , 0][---好自为之
[F][2017-03-26 +8.0 11:39:50.166][1294, 1*][yiqinTag f][, , 0][---好自为之
[E][2017-03-26 +8.0 11:39:50.166][1294, 1*][yiqinTag e][, , 0][---好自为之
[W][2017-03-26 +8.0 11:39:50.166][1294, 1*][yiqinTag w][, , 0][---好自为之
[I][2017-03-26 +8.0 11:39:50.166][1294, 1*][yiqinTag i][, , 0][---好自为之
[D][2017-03-26 +8.0 11:39:50.166][1294, 1*][yiqinTag d][, , 0][---好自为之
[F][2017-03-26 +8.0 11:39:50.324][1294, 1*][yiqinTag f][, , 0][---好自为之
[E][2017-03-26 +8.0 11:39:50.324][1294, 1*][yiqinTag e][, , 0][---好自为之
[W][2017-03-26 +8.0 11:39:50.325][1294, 1*][yiqinTag w][, , 0][---好自为之
[I][2017-03-26 +8.0 11:39:50.325][1294, 1*][yiqinTag i][, , 0][---好自为之
[D][2017-03-26 +8.0 11:39:50.325][1294, 1*][yiqinTag d][, , 0][---好自为之
[F][2017-03-26 +8.0 11:39:50.475][1294, 1*][yiqinTag f][, , 0][---好自为之
[E][2017-03-26 +8.0 11:39:50.476][1294, 1*][yiqinTag e][, , 0][---好自为之
[W][2017-03-26 +8.0 11:39:50.476][1294, 1*][yiqinTag w][, , 0][---好自为之
[I][2017-03-26 +8.0 11:39:50.476][1294, 1*][yiqinTag i][, , 0][---好自为之
[D][2017-03-26 +8.0 11:39:50.476][1294, 1*][yiqinTag d][, , 0][---好自为之
[F][2017-03-26 +8.0 11:39:50.626][1294, 1*][yiqinTag f][, , 0][---好自为之
[E][2017-03-26 +8.0 11:39:50.626][1294, 1*][yiqinTag e][, , 0][---好自为之
[W][2017-03-26 +8.0 11:39:50.626][1294, 1*][yiqinTag w][, , 0][---好自为之
[I][2017-03-26 +8.0 11:39:50.626][1294, 1*][yiqinTag i][, , 0][---好自为之
